Case_Number,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Street_Code,Street_Name,Postal_Code,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Hour_of_Day,Shift_Description,Pedestrian_Cause_Description,Vehicle_Type_Description,Vehicle_Model_Description,Vehicle_Brand_Description,Vehicle_Color_Description,License_Description,License_Age,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S002937    ,-1,Unknown,-1,Unknown,-1,Santander / Fra Juníper Serra                     ,,Wednesday,2023,5,May,17,17,Afternoon,No és causa del  vianant,Moped,LIBERTY 50 2T,PIAGGIO,Gray,AM,31,433746.5,4587235.6,2.205895892,41.432108183,2023-05-17 17:00:00
2023S003078    ,-1,Unknown,-1,Unknown,-1,Numància                                          ,2         ,Wednesday,2023,5,May,24,18,Afternoon,No és causa del  vianant,Bicycle,Unknown,BICING,Red,B,13,428310.7,4581655.17,2.141503645,41.381380404,2023-05-24 18:00:00
2023S005550    ,-1,Unknown,-1,Unknown,-1,Arbós                                             ,15        ,Wednesday,2023,9,September,20,8,Morning,No és causa del  vianant,Van,TRANSIT,FORD,White,B,4,429765.51,4586097.15,2.158385064,41.421516147,2023-09-20 08:00:00
2023S006038    ,-1,Unknown,-1,Unknown,-1,Mig (Ascendent)                                   ,K10       ,Wednesday,2023,10,October,11,17,Afternoon,No és causa del  vianant,Motorcycle,SH300A,HONDA,Red,A,50,427427.81,4580846.61,2.131042699,41.374018815,2023-10-11 17:00:00
2023S006475    ,-1,Unknown,-1,Unknown,-1,Joan XXIII                                        ,3-15      ,Wednesday,2023,11,November,1,19,Afternoon,No és causa del  vianant,Motorcycle,NSS300A,HONDA,Black,A2,4,426623.16,4581757.35,2.12131129,41.382148484,2023-11-01 19:00:00
2023S006930    ,-1,Unknown,-1,Unknown,-1,Plom                                              ,23        ,Wednesday,2023,11,November,22,14,Afternoon,No és causa del  vianant,Moped,LIBERTY,PIAGGIO,Black,AM,23,428025.74,4578463.72,2.138475007,41.352610654,2023-11-22 14:00:00
2023S001002    ,-1,Unknown,-1,Unknown,-1,Motors                                            ,53-59     ,Saturday,2023,2,February,18,10,Morning,No és causa del  vianant,Van,FIAT DUCATO,FIAT,White,B,32,427728.32,4577932.12,2.134983286,41.347796057,2023-02-18 10:00:00
2023S000699    ,-1,Unknown,-1,Unknown,-1,Rovira (ascendent)                                ,0         ,Saturday,2023,2,February,4,16,Afternoon,No és causa del  vianant,Motorcycle,MILER 125,KYMCO,Brown,B,5,430443.36,4585232.0,2.166595554,41.413783052,2023-02-04 16:00:00
2023S002004    ,-1,Unknown,-1,Unknown,-1,Diagonal                                          ,1         ,Saturday,2023,4,April,8,22,Night,No és causa del  vianant,Car,FABIA,SKODA,White,B,17,434782.92,4584880.09,2.218553723,41.410977567,2023-04-08 22:00:00
2023S002864    ,-1,Unknown,-1,Unknown,-1,Lisboa / Puríssima                                ,,Saturday,2023,5,May,13,18,Afternoon,No és causa del  vianant,Motorcycle,SH125AD,HONDA,Gray,B,15,429178.93,4586631.06,2.151303679,41.426273341,2023-05-13 18:00:00
2023S003372    ,-1,Unknown,-1,Unknown,-1,Laietana                                          ,2         ,Saturday,2023,5,May,27,20,Afternoon,No és causa del  vianant,Motorcycle,SES 125,HONDA,Unknown,B,22,431656.63,4581692.37,2.181511266,41.382006792,2023-05-27 20:00:00
2023S004444    ,-1,Unknown,-1,Unknown,-1,Diagonal / Llull                                  ,,Saturday,2023,7,July,22,14,Afternoon,No és causa del  vianant,Articulated bus,HYBRID H18,SOLARIS,Red,D,16,434419.1,4584784.71,2.214211356,41.410088881,2023-07-22 14:00:00
2023S004450    ,-1,Unknown,-1,Unknown,-1,Diagonal                                          ,32        ,Saturday,2023,7,July,22,15,Afternoon,No és causa del  vianant,Bus,K360UB6X2*4,SCANIA,Red,D,15,434359.57,4584802.93,2.213497176,41.410248122,2023-07-22 15:00:00
2023S004127    ,-1,Unknown,-1,Unknown,-1,Diagonal                                          ,3-35      ,Saturday,2023,7,July,8,5,Night,No és causa del  vianant,Motorcycle,MP3 400 RL,PIAGGIO,Black,A,16,434602.66,4584822.12,2.216403377,41.410440789,2023-07-08 05:00:00
2023S005352    ,-1,Unknown,-1,Unknown,-1,Aigües                                            ,385       ,Saturday,2023,9,September,9,16,Afternoon,No és causa del  vianant,Motorcycle,AN 400,SUZUKI,Unknown,B,58,427768.19,4586162.33,2.134478091,41.421926017,2023-09-09 16:00:00
2023S007299    ,-1,Unknown,-1,Unknown,-1,Corts / Blanca                                    ,,Saturday,2023,12,December,9,17,Afternoon,No és causa del  vianant,Motorcycle,ER-6F,KAWASAKI,Green,A2,1,426626.85,4581292.09,2.121411776,41.377958412,2023-12-09 17:00:00
2023S000560    ,-1,Unknown,-1,Unknown,-1,Rovira (descendent)                               ,0         ,Sunday,2023,1,January,29,10,Morning,No és causa del  vianant,Motorcycle,KTM 790 ADVENTURE,KTM,Unknown,A2,3,430428.31,4585222.71,2.166416561,41.413698077,2023-01-29 10:00:00
2023S000711    ,-1,Unknown,-1,Unknown,-1,Colom                                             ,26        ,Sunday,2023,2,February,5,6,Morning,No és causa del  vianant,Car,XC 60,VOLVO,White,B,32,431379.84,4581118.42,2.178266297,41.376813806,2023-02-05 06:00:00
2023S005790    ,-1,Unknown,-1,Unknown,-1,Fra Juníper Serra / Santander                     ,,Sunday,2023,10,October,1,14,Afternoon,No és causa del  vianant,Rigid truck > 3.5 tons,AD260S27YÑPS GNC,IVECO BUS,White,B,13,433746.5,4587235.6,2.205895892,41.432108183,2023-10-01 14:00:00
2023S006410    ,-1,Unknown,-1,Unknown,-1,Corts Catalanes                                   ,769       ,Sunday,2023,10,October,29,13,Morning,No és causa del  vianant,Articulated bus,HYBRID H18,SOLARIS,Unknown,D,36,431946.02,4583922.64,2.184721193,41.402118764,2023-10-29 13:00:00
2023S005955    ,-1,Unknown,-1,Unknown,-1,Portal de la Pau / Colom                          ,,Sunday,2023,10,October,8,10,Morning,No és causa del  vianant,Bus,16 13.37,IRIZAR,Blue,D,16,431358.53,4581040.46,2.178020316,41.376109822,2023-10-08 10:00:00
2023S006710    ,-1,Unknown,-1,Unknown,-1,Mitja Lluna / Panorama                            ,,Sunday,2023,11,November,12,9,Morning,No és causa del  vianant,Bus,MOBI,INDCAR,Red,D,3,430342.94,4585936.5,2.165312929,41.420119528,2023-11-12 09:00:00
2023S006867    ,-1,Unknown,-1,Unknown,-1,Guipúscoa                                         ,163       ,Sunday,2023,11,November,19,7,Morning,No és causa del  vianant,Moped,AGILITY CITY 50,KYMCO,White,AM,23,433835.76,4586344.61,2.207061705,41.424090651,2023-11-19 07:00:00
2023S007488    ,-1,Unknown,-1,Unknown,-1,Vall d'Hebron                                     ,227       ,Sunday,2023,12,December,17,22,Night,No és causa del  vianant,Car,AVENSIS,TOYOTA,Blue,B,12,429578.16,4588089.71,2.155911034,41.439445928,2023-12-17 22:00:00
2023S000676    ,-1,Unknown,-1,Unknown,-1,Panorama / Mitja Lluna                            ,,Friday,2023,2,February,3,16,Afternoon,No és causa del  vianant,Bus,515 CDI/CYTIOS,MERCEDES-BENZ,Red,D,17,430342.94,4585936.5,2.165312929,41.420119528,2023-02-03 16:00:00
2023S001845    ,-1,Unknown,-1,Unknown,-1,Joan XXIII                                        ,1         ,Friday,2023,3,March,31,13,Morning,No és causa del  vianant,Motorcycle,SH125AD,HONDA,Black,B,11,426451.5,4581657.08,2.119270698,41.381229711,2023-03-31 13:00:00
2023S004426    ,-1,Unknown,-1,Unknown,-1,Dolors Batlle i Sunyer                            ,10-12     ,Friday,2023,7,July,21,16,Afternoon,No és causa del  vianant,Motorcycle,WW125EX2,HONDA,Unknown,B,30,428225.37,4581633.3,2.140485838,41.381175817,2023-07-21 16:00:00
2023S005063    ,-1,Unknown,-1,Unknown,-1,Viriat                                            ,53X       ,Friday,2023,8,August,25,17,Afternoon,No és causa del  vianant,Car,POLO,VOLKSWAGEN,Black,Llicència,20,428306.07,4581589.52,2.141456049,41.380788706,2023-08-25 17:00:00
2023S005197    ,-1,Unknown,-1,Unknown,-1,Estatut de Catalunya                              ,11        ,Friday,2023,9,September,1,13,Morning,No és causa del  vianant,Moped,PEOPLE S50,KYMCO,Black,B,1,429493.73,4587108.15,2.155015073,41.430598006,2023-09-01 13:00:00
2023S005330    ,-1,Unknown,-1,Unknown,-1,Vall d'Hebron / Scala Dei                         ,,Friday,2023,9,September,8,10,Morning,No és causa del  vianant,Motorcycle,AGILITY CITY 125,KYMCO,Blue,B,22,429698.26,4588071.05,2.157350679,41.439288395,2023-09-08 10:00:00
2023S007430    ,-1,Unknown,-1,Unknown,-1,Rovira (ascendent)                                ,0         ,Friday,2023,12,December,15,11,Morning,No és causa del  vianant,Motorcycle,SH125AD,HONDA,Unknown,B,44,430443.36,4585232.0,2.166595554,41.413783052,2023-12-15 11:00:00
2023S000955    ,1,Ciutat Vella,1,el Raval,28203,Aurora,0014C0014C,Thursday,2023,2,February,16,6,Morning,No és causa del  vianant,Ambulance,SPRINTER 910AMBULANCIA,BERGADANA,Unknown,B,4,430509.14,4581315.0,2.167832333,41.378509583,2023-02-16 06:00:00
2023S000896    ,1,Ciutat Vella,1,el Raval,28203,Aurora,0014C0014C,Tuesday,2023,2,February,14,7,Morning,No és causa del  vianant,Car,TOYOTA COROLLA,TOYOTA,Black,B,31,430509.14,4581315.0,2.167832333,41.378509583,2023-02-14 07:00:00
2023S003870    ,1,Ciutat Vella,1,el Raval,34308,Rambla,0027 0029,Wednesday,2023,6,June,28,1,Night,Crossing outside the pedestrian crossing,Taxi,TOYOTA COROLLA,TOYOTA,Black/Yellow,B,10,431130.89,4581327.88,2.175265655,41.378679075,2023-06-28 01:00:00
2023S004723    ,1,Ciutat Vella,1,el Raval,34308,Rambla,0049 0049,Friday,2023,8,August,4,8,Morning,No és causa del  vianant,Rigid truck > 3.5 tons,PORTER/PORTER ELECTR,CAYVOL,Unknown,B,5,431030.54,4581471.82,2.174049292,41.379966902,2023-08-04 08:00:00
2023S000671    ,1,Ciutat Vella,1,el Raval,34308,Rambla,0063 0063,Friday,2023,2,February,3,11,Morning,Walking on the road,Motorcycle,SH350A,HONDA,Black,A,31,430976.98,4581555.37,2.173399295,41.380714818,2023-02-03 11:00:00
2023S004033    ,1,Ciutat Vella,1,el Raval,34308,Rambla,0071 0071,Monday,2023,7,July,3,9,Morning,No és causa del  vianant,Car,CADDY,VOLKSWAGEN,Black,B,18,430969.35,4581599.9,2.173302978,41.381115232,2023-07-03 09:00:00
2023S000763    ,1,Ciutat Vella,1,el Raval,34308,Rambla,0083 0083,Tuesday,2023,2,February,7,16,Afternoon,No és causa del  vianant,Taxi,OCTAVIA,SKODA,Black/Yellow,B,35,430904.77,4581667.85,2.172522958,41.381721692,2023-02-07 16:00:00
2023S000667    ,1,Ciutat Vella,1,el Raval,34308,Rambla,0083 0083,Friday,2023,2,February,3,12,Morning,No és causa del  vianant,Taxi,TOYOTA PRIUS,TOYOTA,Black/Yellow,B,9,430904.77,4581667.85,2.172522958,41.381721692,2023-02-03 12:00:00
2023S006414    ,1,Ciutat Vella,1,el Raval,34308,Rambla,0103 0103,Sunday,2023,10,October,29,20,Afternoon,No és causa del  vianant,Rigid truck > 3.5 tons,40C14N,CAYVOL,White,C1,17,430835.79,4581774.09,2.171685932,41.382672635,2023-10-29 20:00:00
2023S005630    ,1,Ciutat Vella,1,el Raval,34308,Rambla,0107 0107,Sunday,2023,9,September,24,11,Morning,Crossing outside the pedestrian crossing,Articulated bus,NEW CITY MAN A-24GNC,CARROCERA CASTROSUA SA,Red,D,8,430794.95,4581864.92,2.171187164,41.3834872,2023-09-24 11:00:00
2023S002755    ,1,Ciutat Vella,1,el Raval,34308,Rambla,0127 0127,Tuesday,2023,5,May,9,8,Morning,No és causa del  vianant,Motorcycle,HARLEY-DAVIDSON STREET,HARLEY-DAVIDSON,Black,B,15,430701.07,4582037.56,2.17004472,41.385034031,2023-05-09 08:00:00
2023S006845    ,1,Ciutat Vella,1,el Raval,67307,Carme,0002 0002,Saturday,2023,11,November,18,8,Morning,No és causa del  vianant,Taxi,TOYOTA CAMRY,TOYOTA,Black/Yellow,B,19,430838.81,4581811.79,2.171717742,41.383012447,2023-11-18 08:00:00
2023S002450    ,1,Ciutat Vella,1,el Raval,67307,Carme,0047 0049,Wednesday,2023,4,April,26,19,Afternoon,No és causa del  vianant,Taxi,LODGY,DACIA,Black/Yellow,B,12,430606.25,4581651.85,2.168954964,41.381551878,2023-04-26 19:00:00
2023S003970    ,1,Ciutat Vella,1,el Raval,67307,Carme,0059 0059,Friday,2023,6,June,30,17,Afternoon,No és causa del  vianant,Van,EXPERT FURGÓN PREMIUM,PEUGEOT,White,B,5,430546.51,4581605.16,2.168245925,41.381126197,2023-06-30 17:00:00
2023S000003    ,1,Ciutat Vella,1,el Raval,67307,Carme,0075 0079,Sunday,2023,1,January,1,3,Night,Crossing outside the pedestrian crossing,Van,TRAFIC,RENAULT,Blue,B,10,430479.42,4581533.3,2.167451891,41.380473178,2023-01-01 03:00:00
2023S006455    ,1,Ciutat Vella,1,el Raval,86902,Nou de la Rambla,0108X0108X,Tuesday,2023,10,October,31,19,Afternoon,No és causa del  vianant,Van,PROACE MEBAUTO,MEBAUTO,White,B,2,430686.86,4580920.06,2.170002667,41.374967808,2023-10-31 19:00:00
2023S006443    ,1,Ciutat Vella,1,el Raval,140203,Drassanes,0006 0008,Tuesday,2023,10,October,31,9,Morning,No és causa del  vianant,Bus,O 530 G,MERCEDES-BENZ,Unknown,D,5,431141.53,4581056.3,2.175423758,41.376233939,2023-10-31 09:00:00
2023S000143    ,1,Ciutat Vella,1,el Raval,140203,Drassanes,0010 0012,Monday,2023,1,January,9,15,Afternoon,No és causa del  vianant,Motorcycle,AGILITY CITY 125,KYMCO,Black,B,17,431043.27,4581103.5,2.174243448,41.376650638,2023-01-09 15:00:00
2023S001294    ,1,Ciutat Vella,1,el Raval,140203,Drassanes,0017 0021,Sunday,2023,3,March,5,14,Afternoon,No és causa del  vianant,Motorcycle,Z800,KAWASAKI,Black,A,5,430949.91,4581096.04,2.173127947,41.376575438,2023-03-05 14:00:00
2023S004567    ,1,Ciutat Vella,1,el Raval,151505,Guàrdia,0014 0014,Thursday,2023,7,July,27,18,Afternoon,No és causa del  vianant,Motorcycle,SH 125,HONDA,Black,B,34,431039.01,4581216.51,2.174179644,41.377668123,2023-07-27 18:00:00
2023S005100    ,1,Ciutat Vella,1,el Raval,157909,Hospital,0055 0055,Sunday,2023,8,August,27,1,Night,No és causa del  vianant,Construction and service machinery,CITYCAT V20E,BUCHER,White,B,24,430759.57,4581540.06,2.170801204,41.380558235,2023-08-27 01:00:00
2023S004092    ,1,Ciutat Vella,1,el Raval,157909,Hospital,0063 0063,Monday,2023,7,July,10,16,Afternoon,No és causa del  vianant,Car,TOYOTA PRIUS PLUS,TOYOTA,Others,B,15,430759.57,4581540.06,2.170801204,41.380558235,2023-07-10 16:00:00
2023S002715    ,1,Ciutat Vella,1,el Raval,157909,Hospital,0141 0141,Sunday,2023,5,May,7,16,Afternoon,No és causa del  vianant,Motorcycle,NSS300A,HONDA,White,A2,11,430457.69,4581425.09,2.167204464,41.379496684,2023-05-07 16:00:00
2023S004758    ,1,Ciutat Vella,1,el Raval,167709,Joaquín Costa,0067 0067,Saturday,2023,8,August,5,21,Afternoon,No és causa del  vianant,Motorcycle,SH 125,HONDA,Black,B,28,430180.58,4581946.73,2.163830648,41.384170924,2023-08-05 21:00:00
2023S004938    ,1,Ciutat Vella,1,el Raval,175208,Junta de Comerç,0020 0020,Thursday,2023,8,August,17,13,Morning,Crossing outside the pedestrian crossing,Motorcycle,AGILITY CITY 125,KYMCO,Black,B,11,430827.39,4581428.47,2.171624954,41.379559012,2023-08-17 13:00:00
2023S000269    ,1,Ciutat Vella,1,el Raval,177305,Lleialtat,0006B0006B,Saturday,2023,1,January,14,23,Night,No és causa del  vianant,Car,MATIZ,CHEVROLET,Blue,B,9,430427.24,4581159.64,2.166870831,41.37710322,2023-01-14 23:00:00
2023S002723    ,1,Ciutat Vella,1,el Raval,198804,Paral·lel,0032 0034,Monday,2023,5,May,8,8,Morning,No és causa del  vianant,Motorcycle,S02,SCUTUM,White,B,18,430955.38,4580894.89,2.173216279,41.374764205,2023-05-08 08:00:00
2023S006005    ,1,Ciutat Vella,1,el Raval,198804,Paral·lel,0036 0036,Tuesday,2023,10,October,10,14,Afternoon,No és causa del  vianant,Taxi,CEED,KIA,Black/Yellow,B,21,430955.38,4580894.89,2.173216279,41.374764205,2023-10-10 14:00:00
