Case_Number,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Street_Code,Street_Name,Postal_Code,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Shift_Description,Hour_of_Day,Pedestrian_Cause_Description,Involved_Vehicle_Type,Gender_Description,Age,Person_Type_Description,Pedestrian_Accident_Location_Description,Pedestrian_Movement_Reason_Description,Driver_Movement_Reason_Description,Victimization_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude
2023S000010    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,194803,Marc Aureli,0031 0033,Monday,2023,1,January,2,Morning,8,No és causa del  vianant,Motorcycle,Man,42,Driver,Desconegut                                                                                                                                            ,Unknown,Altres activitats,Minor injury: Medical assistance at accident site,428399.69,4583937.88,2.14229781,41.401947852
2023S000011    ,7,Horta-Guinardó,39,Sant Genís dels Agudells,295108,Sant Cugat / Samaria                              ,0002U0002U,Monday,2023,1,January,2,Morning,9,No és causa del  vianant,Motorcycle,Woman,64,Driver,Desconegut                                                                                                                                            ,Unknown,Altres activitats,Minor injury: Medical assistance at accident site,428095.08,4586175.0,2.138388048,41.422069468
2023S000011    ,7,Horta-Guinardó,39,Sant Genís dels Agudells,295108,Samaria,0002U0002U,Monday,2023,1,January,2,Morning,9,No és causa del  vianant,Motorcycle,Man,31,Driver,Desconegut                                                                                                                                            ,Unknown,Altres activitats,Minor injury: Hospitalization up to 24 hours,428095.08,4586175.0,2.138388048,41.422069468
2023S000011    ,7,Horta-Guinardó,39,Sant Genís dels Agudells,295108,Samaria,0002U0002U,Monday,2023,1,January,2,Morning,9,No és causa del  vianant,Motorcycle,Woman,27,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428095.08,4586175.0,2.138388048,41.422069468
2023S000012    ,6,Gràcia,31,la Vila de Gràcia,356803,Verdi,0103 0103,Monday,2023,1,January,2,Morning,10,No és causa del  vianant,"Camió rígid > 3,5 tones",Man,70,Pedestrian,En zona peatonal                                                                                                                                      ,Unknown,Unknown,Death (within 24 hours of accident),429443.48,4584355.08,2.154735037,41.40579775
2023S000013    ,10,Sant Martí,71,Provençals del Poblenou,701414,Corts Catalanes                                   ,020740000,Monday,2023,1,January,2,Morning,9,No és causa del  vianant,Furgoneta,Man,50,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,433247.4,4585229.09,2.200144411,41.413994777
2023S000014    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,223606,Muntaner,0467 0469,Monday,2023,1,January,2,Morning,11,No és causa del  vianant,Ciclomotor,Woman,42,Driver,Desconegut                                                                                                                                            ,Unknown,In itínere,Minor injury: Hospitalization up to 24 hours,428116.22,4583956.81,2.138904683,41.402093039
2023S000015    ,10,Sant Martí,68,el Poblenou,115603,Espronceda,0121 0121,Monday,2023,1,January,2,Morning,10,No és causa del  vianant,Ambulància,Man,54,Driver,Desconegut                                                                                                                                            ,Unknown,"Bombers, policia, ambulància",Minor injury: Medical assistance at accident site,433559.11,4584317.78,2.203973965,41.405812692
2023S000015    ,10,Sant Martí,68,el Poblenou,115603,Espronceda,0121 0121,Monday,2023,1,January,2,Morning,10,No és causa del  vianant,Ambulància,Woman,32,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Medical assistance at accident site,433559.11,4584317.78,2.203973965,41.405812692
2023S000015    ,10,Sant Martí,68,el Poblenou,115603,Espronceda,0121 0121,Monday,2023,1,January,2,Morning,10,No és causa del  vianant,Furgoneta,Man,51,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,433559.11,4584317.78,2.203973965,41.405812692
2023S000016    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,134801,Freser,0138 0138,Monday,2023,1,January,2,Morning,8,No és causa del  vianant,Car,Woman,22,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431666.53,4585171.58,2.181236776,41.413343862
2023S000016    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,134801,Freser,0138 0138,Monday,2023,1,January,2,Morning,8,No és causa del  vianant,Car,Woman,67,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431666.53,4585171.58,2.181236776,41.413343862
2023S000016    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,134801,Freser,0138 0138,Monday,2023,1,January,2,Morning,8,No és causa del  vianant,Car,Woman,22,Driver,Desconegut                                                                                                                                            ,Unknown,Oci i entreteniment,Minor injury: Hospitalization up to 24 hours,431666.53,4585171.58,2.181236776,41.413343862
2023S000017    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,344101,Gràcia,0045 0045,Monday,2023,1,January,2,Morning,11,No és causa del  vianant,Bus,Man,61,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Medical assistance at accident site,428908.24,4583220.87,2.148465348,41.395535161
2023S000017    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,344101,Gràcia,0045 0045,Monday,2023,1,January,2,Morning,11,No és causa del  vianant,Bus,Man,83,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Refused medical assistance,428908.24,4583220.87,2.148465348,41.395535161
2023S000018    ,9,Sant Andreu,57,la Trinitat Vella,314100,Santa Coloma,0091X0093X,Monday,2023,1,January,2,Morning,13,No és causa del  vianant,Motorcycle,Man,28,Driver,Desconegut                                                                                                                                            ,Unknown,En missió,Minor injury: Hospitalization up to 24 hours,432598.95,4588910.2,2.1919754,41.447095207
2023S000019    ,3,Sants-Montjuïc,12,la Marina del Prat Vermell,701265,Litoral (Besòs),001610000,Monday,2023,1,January,2,Afternoon,15,No és causa del  vianant,Motorcycle,Man,37,Driver,Desconegut                                                                                                                                            ,Unknown,Oci i entreteniment,Minor injury: Hospitalization up to 24 hours,427242.19,4577339.41,2.12924409,41.342413928
2023S000020    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria,0275 0277,Monday,2023,1,January,2,Afternoon,17,No és causa del  vianant,Bus,Woman,85,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431634.8,4585306.27,2.180841921,41.414554272
2023S000021    ,4,Les Corts,21,Pedralbes,701267,Dalt (Besòs),000600000,Monday,2023,1,January,2,Afternoon,14,No és causa del  vianant,Motorcycle,Woman,40,Driver,Desconegut                                                                                                                                            ,Unknown,Oci i entreteniment,Minor injury: Hospitalization up to 24 hours,425648.78,4583019.77,2.109504322,41.393429037
2023S000022    ,10,Sant Martí,72,Sant Martí de Provençals,153205,Guipúscoa,0049 0051,Monday,2023,1,January,2,Afternoon,18,No és causa del  vianant,Veh. mobilitat personal amb motor,Man,31,Driver,Desconegut                                                                                                                                            ,Unknown,Oci i entreteniment,Minor injury: Hospitalization up to 24 hours,432944.88,4585473.31,2.19649785,41.416169198
2023S000023    ,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",700059,Vallvidrera a les Planes,0009 0063,Monday,2023,1,January,2,Afternoon,18,No és causa del  vianant,Motorcycle,Woman,33,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Medical assistance at accident site,424364.44,4586356.76,2.093725898,41.423363761
2023S000024    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,144601,Balmes / Diagonal                                 ,0490 0500,Wednesday,2023,1,January,4,Afternoon,16,No és causa del  vianant,Motorcycle,Woman,26,Driver,Desconegut                                                                                                                                            ,Unknown,Oci i entreteniment,Minor injury: Hospitalization up to 24 hours,429430.09,4583191.25,2.154710596,41.395314373
2023S000025    ,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,143904,General Mitre / Berna                             ,0220 0220,Monday,2023,1,January,2,Afternoon,18,No és causa del  vianant,Motorcycle,Woman,41,Driver,Desconegut                                                                                                                                            ,Unknown,Altres activitats,Minor injury: Hospitalization up to 24 hours,428777.85,4584356.56,2.146772087,41.40575235
2023S000026    ,9,Sant Andreu,57,la Trinitat Vella,209900,Meridiana,0682 0682,Monday,2023,1,January,2,Afternoon,19,No és causa del  vianant,Furgoneta,Man,35,Driver,Desconegut                                                                                                                                            ,Unknown,Altres activitats,Minor injury: Hospitalization up to 24 hours,432323.57,4589136.63,2.188653583,41.449111399
2023S000026    ,9,Sant Andreu,57,la Trinitat Vella,209900,Meridiana,0682 0682,Monday,2023,1,January,2,Afternoon,19,No és causa del  vianant,Furgoneta,Man,48,Driver,Desconegut                                                                                                                                            ,Unknown,Altres activitats,Minor injury: Refused medical assistance,432323.57,4589136.63,2.188653583,41.449111399
2023S000026    ,9,Sant Andreu,57,la Trinitat Vella,209900,Meridiana,0682 0682,Monday,2023,1,January,2,Afternoon,19,No és causa del  vianant,Furgoneta,Man,57,Driver,Desconegut                                                                                                                                            ,Unknown,Altres activitats,Minor injury: Refused medical assistance,432323.57,4589136.63,2.188653583,41.449111399
2023S000026    ,9,Sant Andreu,57,la Trinitat Vella,209900,Meridiana,0682 0682,Monday,2023,1,January,2,Afternoon,19,No és causa del  vianant,Car,Man,26,Driver,Desconegut                                                                                                                                            ,Unknown,Altres activitats,Minor injury: Refused medical assistance,432323.57,4589136.63,2.188653583,41.449111399
2023S000026    ,9,Sant Andreu,57,la Trinitat Vella,209900,Meridiana,0682 0682,Monday,2023,1,January,2,Afternoon,19,No és causa del  vianant,Car,Man,44,Driver,Desconegut                                                                                                                                            ,Unknown,Altres activitats,Minor injury: Hospitalization up to 24 hours,432323.57,4589136.63,2.188653583,41.449111399
2023S000026    ,9,Sant Andreu,57,la Trinitat Vella,209900,Meridiana,0682 0682,Monday,2023,1,January,2,Afternoon,19,No és causa del  vianant,Furgoneta,Woman,52,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Refused medical assistance,432323.57,4589136.63,2.188653583,41.449111399
2023S000026    ,9,Sant Andreu,57,la Trinitat Vella,209900,Meridiana,0682 0682,Monday,2023,1,January,2,Afternoon,19,No és causa del  vianant,Car,Woman,25,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Refused medical assistance,432323.57,4589136.63,2.188653583,41.449111399
2023S000026    ,9,Sant Andreu,57,la Trinitat Vella,209900,Meridiana,0682 0682,Monday,2023,1,January,2,Afternoon,19,No és causa del  vianant,Car,Man,13,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Refused medical assistance,432323.57,4589136.63,2.188653583,41.449111399
2023S000027    ,2,Eixample,7,la Dreta de l'Eixample,191204,Mallorca,0240 0240,Monday,2023,1,January,2,Night,22,No és causa del  vianant,Car,Woman,61,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429965.34,4582901.04,2.161146234,41.392747366
2023S000028    ,2,Eixample,5,el Fort Pienc,225500,Nàpols,0061X0081X,Monday,2023,1,January,2,Afternoon,21,No és causa del  vianant,Motorcycle,Man,49,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431743.53,4582916.38,2.182412469,41.393038496
2023S000029    ,7,Horta-Guinardó,43,Horta,349105,Universal,0041 0041,Monday,2023,1,January,2,Afternoon,20,No és causa del  vianant,Motorcycle,Man,50,Driver,Desconegut                                                                                                                                            ,Unknown,Oci i entreteniment,Minor injury: Hospitalization up to 24 hours,430022.11,4587884.53,2.161248436,41.437636789
2023S000030    ,8,Nou Barris,53,la Trinitat Nova,241200,Palamós,0036 0036,Tuesday,2023,1,January,3,Morning,8,No és causa del  vianant,Car,Woman,6,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Refused medical assistance,432027.76,4588953.97,2.185133062,41.447441237
2023S000030    ,8,Nou Barris,53,la Trinitat Nova,241200,Palamós,0036 0036,Tuesday,2023,1,January,3,Morning,8,No és causa del  vianant,Car,Woman,67,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Medical assistance at accident site,432027.76,4588953.97,2.185133062,41.447441237
2023S000031    ,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,76807,Sardenya,0403 0403,Tuesday,2023,1,January,3,Morning,8,No és causa del  vianant,Bicicleta,Woman,46,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430552.33,4584512.01,2.167981984,41.407307778
2023S000033    ,2,Eixample,7,la Dreta de l'Eixample,28305,Ausiàs Marc,0043 0043,Tuesday,2023,1,January,3,Morning,13,No és causa del  vianant,Motorcycle,Man,42,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431275.02,4582830.46,2.176818603,41.392224718
2023S000034    ,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,181200,Lucà,0001 0001,Tuesday,2023,1,January,3,Morning,13,Creuar per fora pas de vianants,Motorcycle,Man,69,Pedestrian,Fora del pas                                                                                                                                          ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428167.38,4584926.71,2.139401483,41.410833113
2023S000035    ,2,Eixample,9,la Nova Esquerra de l'Eixample,18505,Aragó,0083 0083,Tuesday,2023,1,January,3,Morning,13,No és causa del  vianant,Motorcycle,Man,48,Driver,Desconegut                                                                                                                                            ,Unknown,Oci i entreteniment,Minor injury: Medical assistance at accident site,429085.1,4581681.15,2.150761101,41.381683063
2023S000036    ,6,Gràcia,29,el Coll,220903,Móra d'Ebre,0065B0065B,Tuesday,2023,1,January,3,Afternoon,15,No és causa del  vianant,Furgoneta,Woman,50,Pedestrian,En pas sense regular                                                                                                                                  ,Oci i entreteniment,Unknown,Minor injury: Hospitalization up to 24 hours,429038.32,4585881.07,2.149709123,41.419506068
2023S000038    ,2,Eixample,6,la Sagrada Família,191204,Mallorca,0439B0439B,Tuesday,2023,1,January,3,Afternoon,14,No és causa del  vianant,Ciclomotor,Woman,43,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Medical assistance at accident site,431368.18,4584275.95,2.177768882,41.40525177
2023S000039    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,350308,València,0143 0143,Tuesday,2023,1,January,3,Afternoon,14,No és causa del  vianant,Veh. mobilitat personal amb motor,Man,35,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429546.37,4582303.61,2.156204714,41.387329903
2023S000040    ,10,Sant Martí,68,el Poblenou,42306,Bilbao,0143X0143X,Tuesday,2023,1,January,3,Afternoon,17,No és causa del  vianant,Veh. mobilitat personal amb motor,Woman,61,Pedestrian,En pas regulat per semàfor                                                                                                                            ,Oci i entreteniment,Unknown,Minor injury: Hospitalization up to 24 hours,433090.05,4584419.2,2.198351418,41.406687227
2023S000041    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,139805,Ganduxer,0005 0015,Tuesday,2023,1,January,3,Afternoon,18,No és causa del  vianant,Car,Woman,57,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Refused medical assistance,428095.87,4582871.5,2.138790208,41.392316254
2023S000041    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,139805,Ganduxer,0005 0015,Tuesday,2023,1,January,3,Afternoon,18,No és causa del  vianant,Car,Man,73,Driver,Desconegut                                                                                                                                            ,Unknown,En missió,Minor injury: Hospitalization up to 24 hours,428095.87,4582871.5,2.138790208,41.392316254
2023S000042    ,3,Sants-Montjuïc,11,el Poble-sec,198804,Paral·lel,0025 0027,Tuesday,2023,1,January,3,Afternoon,19,No és causa del  vianant,Bus,Man,26,Pedestrian,Desconegut                                                                                                                                            ,Oci i entreteniment,Unknown,Minor injury: Hospitalization up to 24 hours,431024.5,4580857.89,2.17404697,41.374436886
2023S000043    ,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,267907,Provençals,0002 0002,Tuesday,2023,1,January,3,Afternoon,19,No és causa del  vianant,Car,Woman,40,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,434403.02,4584111.59,2.214091981,41.404024934
2023S000044    ,6,Gràcia,28,Vallcarca i els Penitents,123408,Lesseps,0021X0021X,Tuesday,2023,1,January,3,Afternoon,19,Others,Motorcycle,Woman,28,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429024.35,4584481.54,2.149706242,41.406899811
2023S000045    ,8,Nou Barris,49,Canyelles,120807,Favència,0005 0007,Tuesday,2023,1,January,3,Afternoon,16,No és causa del  vianant,Car,Woman,20,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430337.72,4588274.45,2.164980883,41.441176103
2023S000045    ,8,Nou Barris,49,Canyelles,120807,Favència,0005 0007,Tuesday,2023,1,January,3,Afternoon,16,No és causa del  vianant,Car,Woman,23,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430337.72,4588274.45,2.164980883,41.441176103
2023S000046    ,7,Horta-Guinardó,41,la Vall d'Hebron,169103,Jorge Manrique,0020 0020,Sunday,2023,1,January,1,Afternoon,20,No és causa del  vianant,Motorcycle,Man,40,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Refused medical assistance,429014.52,4587231.05,2.149265771,41.431662683
2023S000047    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,144601,Diagonal,0411 0411,Tuesday,2023,1,January,3,Afternoon,17,No és causa del  vianant,Motorcycle,Man,35,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429430.09,4583191.25,2.154710596,41.395314373
2023S000048    ,4,Les Corts,19,les Corts,343903,Corts,0261 0261,Tuesday,2023,1,January,3,Afternoon,18,No és causa del  vianant,Motorcycle,Man,32,Driver,Desconegut                                                                                                                                            ,Unknown,En missió,Minor injury: Hospitalization up to 24 hours,427602.93,4582133.45,2.132982779,41.385624681
2023S000049    ,10,Sant Martí,68,el Poblenou,330107,Tànger,0160X0160X,Tuesday,2023,1,January,3,Afternoon,21,No és causa del  vianant,Veh. mobilitat personal amb motor,Woman,27,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432896.49,4584227.11,2.196057155,41.404940981
2023S000050    ,9,Sant Andreu,60,Sant Andreu,209900,Meridiana,0574 0578,Tuesday,2023,1,January,3,Afternoon,18,No és causa del  vianant,Car,Woman,21,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432121.17,4588255.25,2.186329789,41.441156021
2023S000051    ,3,Sants-Montjuïc,11,el Poble-sec,198804,Paral·lel,0077 0077,Wednesday,2023,1,January,4,Night,2,No és causa del  vianant,Car,Man,30,Driver,Desconegut                                                                                                                                            ,Unknown,Oci i entreteniment,Minor injury: Hospitalization up to 24 hours,430443.15,4580944.45,2.167085784,41.375166442
2023S000051    ,3,Sants-Montjuïc,11,el Poble-sec,198804,Paral·lel,0077 0077,Wednesday,2023,1,January,4,Night,2,No és causa del  vianant,Taxi,Man,24,Driver,Desconegut                                                                                                                                            ,Unknown,Taxi,Minor injury: Medical assistance at accident site,430443.15,4580944.45,2.167085784,41.375166442
2023S000053    ,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,144601,Diagonal,0003X0003X,Wednesday,2023,1,January,4,Morning,10,Desobeir el senyal del semàfor,Furgoneta,Woman,81,Pedestrian,En pas regulat per semàfor                                                                                                                            ,Oci i entreteniment,Unknown,Minor injury: Hospitalization up to 24 hours,434782.92,4584880.09,2.218553723,41.410977567
2023S000054    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,0185 0185,Wednesday,2023,1,January,4,Morning,11,No és causa del  vianant,Motorcycle,Man,39,Driver,Desconegut                                                                                                                                            ,Unknown,In itínere,Minor injury: Hospitalization up to 24 hours,429735.29,4582301.52,2.158464328,41.387327612
2023S000055    ,4,Les Corts,19,les Corts,231502,Numància,0136X0136X,Wednesday,2023,1,January,4,Morning,13,No és causa del  vianant,Veh. mobilitat personal amb motor,Woman,24,Driver,Desconegut                                                                                                                                            ,Unknown,Altres activitats,Minor injury: Hospitalization up to 24 hours,427722.44,4582364.77,2.134384389,41.387718843
2023S000056    ,7,Horta-Guinardó,33,el Baix Guinardó,152905,Guinardó,0033 0033,Wednesday,2023,1,January,4,Afternoon,14,No és causa del  vianant,Ciclomotor,Man,26,Driver,Desconegut                                                                                                                                            ,Unknown,En missió,Minor injury: Medical assistance at accident site,430397.3,4585071.83,2.166062916,41.412336467
2023S000056    ,7,Horta-Guinardó,33,el Baix Guinardó,152905,Guinardó,0033 0033,Wednesday,2023,1,January,4,Afternoon,14,No és causa del  vianant,Motorcycle,Woman,22,Driver,Desconegut                                                                                                                                            ,Unknown,En missió,Minor injury: Refused medical assistance,430397.3,4585071.83,2.166062916,41.412336467
2023S000057    ,5,Sarrià-Sant Gervasi,23,Sarrià,320908,Sarrià a Vallvidrera,0106 0150,Wednesday,2023,1,January,4,Morning,12,No és causa del  vianant,Motorcycle,Man,24,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,425809.2,4584577.29,2.111232034,41.407471725
2023S000058    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,226400,Las Navas de Tolosa,0293 0293,Wednesday,2023,1,January,4,Afternoon,16,No és causa del  vianant,Motorcycle,Man,34,Driver,Desconegut                                                                                                                                            ,Unknown,Oci i entreteniment,Minor injury: Medical assistance at accident site,432141.03,4585382.64,2.186890129,41.415285043
2023S000059    ,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,242906,Pallars,0145 0145,Wednesday,2023,1,January,4,Afternoon,14,No és causa del  vianant,Car,Woman,43,Driver,Desconegut                                                                                                                                            ,Unknown,In itínere,Minor injury: Hospitalization up to 24 hours,432721.05,4583511.74,2.194037962,41.398483165
2023S000060    ,4,Les Corts,19,les Corts,144601,Diagonal,0652D0656D,Wednesday,2023,1,January,4,Afternoon,18,No és causa del  vianant,Motorcycle,Woman,42,Driver,Desconegut                                                                                                                                            ,Unknown,In itínere,Minor injury: Hospitalization up to 24 hours,427575.97,4582577.49,2.13260725,41.389621548
2023S000061    ,3,Sants-Montjuïc,12,la Marina del Prat Vermell,701265,Litoral (Besòs),001530000,Wednesday,2023,1,January,4,Afternoon,19,No és causa del  vianant,Car,Man,9,Passenger,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Medical assistance at accident site,428296.55,4577849.21,2.141784635,41.347100121
2023S000061    ,3,Sants-Montjuïc,12,la Marina del Prat Vermell,701265,Litoral (Besòs),001530000,Wednesday,2023,1,January,4,Afternoon,19,No és causa del  vianant,Car,Man,50,Driver,Desconegut                                                                                                                                            ,Unknown,In itínere,Minor injury: Medical assistance at accident site,428296.55,4577849.21,2.141784635,41.347100121
2023S000061    ,3,Sants-Montjuïc,12,la Marina del Prat Vermell,701265,Litoral (Besòs),001530000,Wednesday,2023,1,January,4,Afternoon,19,No és causa del  vianant,Car,Man,47,Driver,Desconegut                                                                                                                                            ,Unknown,Oci i entreteniment,Minor injury: Medical assistance at accident site,428296.55,4577849.21,2.141784635,41.347100121
2023S000062    ,1,Ciutat Vella,2,el Barri Gòtic,177101,Laietana,0045 0045,Wednesday,2023,1,January,4,Afternoon,18,No és causa del  vianant,Veh. mobilitat personal amb motor,Woman,76,Pedestrian,En pas regulat per semàfor                                                                                                                            ,Unknown,Unknown,Serious injury: Hospitalization over 24 hours,431111.28,4582218.3,2.174929873,41.386697156
